Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               97                  97               97                  97              94                 94              94                 94
010-020          96               96                  96               96                  96              96                 96              96                 96
020-030          96               11                  96               96                  96              96                 96              96                 96
030-040          96                0                  96               96                  96              96                 96              96                 96
040-050          97                0                  97               97                  97              97                 97              97                 97
050-060          96                0                  96               96                  96              96                 96              96                 96
060-070          96                0                  96               96                  96              96                 96              96                 96
070-080          96                0                  96               96                  96              96                 96              96                 96
080-090          96                0                  96               96                  96              96                 96              96                 96
090-100          97                0                  97               97                  97              97                 97              97                 97
100-110          96                0                  96               96                  96              96                 96              96                 96
110-120          42                0                  41               41                  41              41                 41              41                 41
Total          1101              204                1100             1100                1100            1097               1097            1097               1097
