Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               97                  97               97                  97              94                 94              94                 94
010-020          96               96                  96               96                  96              96                 96              96                 96
020-030          97               54                  97               97                  97              97                 97              97                 97
030-040          96                0                  96               96                  96              96                 96              96                 96
040-050          97                0                  97               97                  97              97                 97              97                 97
050-060          96                0                  96               96                  96              96                 96              96                 96
060-070          97                0                  97               97                  97              97                 97              97                 97
070-080          96                0                  96               96                  96              96                 96              96                 96
080-090          97                0                  97               97                  97              97                 97              97                 97
090-100          96                0                  96               96                  96              96                 96              96                 96
100-110          97                0                  97               97                  97              97                 97              97                 97
110-120          96                0                  96               96                  96              96                 96              96                 96
120-130          96                0                  96               96                  96              96                 96              96                 96
130-140          97                0                  97               97                  97              97                 97              97                 97
140-150          96                0                  96               79                  96              96                 96              96                 96
150-160          97                0                  97                0                  97              97                 97              97                 97
160-170          96                0                  96                0                  96              96                 96              96                 96
170-180          97                0                  97                0                  97              97                 97              97                 97
180-190          96                0                  96                0                  96              96                 96              96                 96
190-200          97                0                  97                0                  97              97                 97              97                 97
200-210          96                0                  96                0                  96              96                 96              96                 96
210-220          97                0                  97                0                  97              97                 97              97                 97
220-230          96                0                  96                0                  96              96                 96              96                 96
230-240          97                0                  97                0                  97              97                 97              97                 97
240-250          96                0                  96                0                  96              96                 96              96                 96
250-260          97                0                  97                0                  97              97                 97              97                 97
260-270          96                0                  96                0                  96              96                 96              96                 96
270-280          97                0                  97                0                  97              97                 97              97                 97
280-290          96                0                  96                0                  96              96                 96              96                 96
290-300          97                0                  97                0                  97              97                 97              97                 97
300-310          96                0                  96                0                  96              96                 96              96                 96
310-320          96                0                  96                0                  96              96                 96              96                 96
320-330          97                0                  97                0                  97              97                 97              97                 97
330-340          96                0                  96                0                  96              96                 96              96                 96
340-350          97                0                  97                0                  97              97                 97              97                 97
350-360          96                0                  96                0                  96              96                 96              96                 96
360-370          97                0                  97                0                  97              97                 97              97                 97
370-380          96                0                  96                0                  96              96                 96              96                 96
380-390          97                0                  97                0                  97              97                 97              97                 97
390-400          96                0                  96                0                  96              96                 96              96                 96
400-410          97                0                  97                0                  97              97                 97              97                 97
410-420          96                0                  96                0                  96              96                 96              96                 96
420-430          97                0                  97                0                  97              97                 97              97                 97
430-440          96                0                  96                0                  96              96                 96              96                 96
440-450          97                0                  97                0                  97              97                 97              97                 97
450-460          96                0                  96                0                  96              96                 96              96                 96
460-470          97                0                  97                0                  97              97                 97              97                 97
470-480           6                0                   5                0                   5               5                  5               4                  5
Total          4541              247                4540             1430                4540            4537               4537            4536               4537
