Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               86                  97               97                  97              94                 94              94                 94
010-020          96                0                  96               96                  96              96                 96              96                 96
020-030          96                0                  96               96                  96              96                 96              96                 96
030-040          97                0                  97               97                  97              97                 97              97                 97
040-050          96                0                  96               96                  96              96                 96              96                 96
050-060          96                0                  96               96                  96              96                 96              96                 96
060-070          96                0                  96               96                  96              96                 96              96                 96
070-080          97                0                  97               97                  97              97                 97              97                 97
080-090          96                0                  96               96                  96              96                 96              96                 96
090-100          96                0                  96               96                  96              96                 96              96                 96
100-110          96                0                  96               96                  96              96                 96              96                 96
110-120          97                0                  97               97                  97              97                 97              97                 97
120-130          96                0                  96               96                  96              96                 96              96                 96
130-140          96                0                  96               96                  96              96                 96              96                 96
140-150          96                0                  96               96                  96              96                 96              96                 96
150-160          96                0                  96               96                  96              96                 96              96                 96
160-170          97                0                  97               97                  97              97                 97              97                 97
170-180          96                0                  96               96                  96              96                 96              96                 96
180-190          96                0                  96               96                  96              96                 96              96                 96
190-200          96                0                  96               96                  96              96                 96              96                 96
200-210          97                0                  97               97                  97              97                 97              97                 97
210-220          96                0                  96               96                  96              96                 96              96                 96
220-230          96                0                  96               96                  96              96                 96              96                 96
230-240          96                0                  96               96                  96              96                 96              96                 96
240-250          96                0                  96               96                  96              96                 96              96                 96
250-260          96                0                  96               96                  96              96                 96              96                 96
260-270          97                0                  97               97                  97              97                 97              97                 97
270-280          96                0                  96               96                  96              96                 96              96                 96
280-290          96                0                  96               96                  96              96                 96              96                 96
290-300          96                0                  96               96                  96              96                 96              96                 96
300-310          97                0                  97               97                  97              97                 97              97                 97
310-320          96                0                  96               96                  96              96                 96              96                 96
320-330          96                0                  96               96                  96              96                 96              96                 96
330-340          96                0                  96               96                  96              96                 96              96                 96
340-350          97                0                  97               97                  97              97                 97              97                 97
350-360          96                0                  96               96                  96              96                 96              96                 96
360-370          96                0                  96               96                  96              96                 96              96                 96
370-380          96                0                  96               96                  96              96                 96              96                 96
380-390          97                0                  97               97                  97              97                 97              97                 97
390-400          96                0                  96               96                  96              96                 96              96                 96
400-410          96                0                  96               96                  96              96                 96              96                 96
410-420          96                0                  96               96                  96              96                 96              96                 96
420-430          29                0                  28               28                  28              28                 28              28                 28
Total          4071               86                4070             4070                4070            4067               4067            4067               4067
