Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               68                  97               58                  97              67                 94              93                 94
010-020          96                0                  96                0                  96              82                 96              94                 96
020-030          97                0                  97                0                  97              75                 97              96                 97
030-040          96                0                  96                0                  96              90                 96              96                 96
040-050          97                0                  97                0                  97              93                 97              96                 97
050-060          96                0                  96                0                  96              85                 96              96                 96
060-070          97                0                  97                0                  97              83                 97              95                 97
070-080          96                0                  96                0                  96              75                 96              96                 96
080-090          97                0                  97                0                  97              85                 97              96                 97
090-100          96                0                  96                0                  96              77                 96              94                 96
100-110          97                0                  97                0                  97              81                 97              94                 97
110-120          39                0                  38                0                  38              28                 38              37                 38
Total          1101               68                1100               58                1100             921               1097            1083               1097
