Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               78                  97               97                  97              72                 94              94                 94
010-020          96                0                  96               96                  96              68                 96              96                 96
020-030          97                0                  97               97                  97              66                 97              97                 97
030-040          96                0                  96               96                  96              73                 96              96                 96
040-050          97                0                  97               97                  97              78                 97              97                 97
050-060          96                0                  96               96                  96              68                 96              96                 96
060-070          97                0                  97               97                  97              74                 97              97                 97
070-080          96                0                  96               96                  96              72                 96              96                 96
080-090          96                0                  96               96                  96              69                 96              96                 96
090-100          97                0                  97               97                  97              72                 97              97                 97
100-110          96                0                  96               96                  96              68                 96              96                 96
110-120          97                0                  97               97                  97              69                 97              97                 97
120-130          96                0                  96               96                  96              68                 96              96                 96
130-140          97                0                  97               97                  97              68                 97              97                 97
140-150          96                0                  96               96                  96              68                 96              96                 96
150-160          96                0                  96               96                  96              71                 96              96                 96
160-170          97                0                  97               97                  97              71                 97              97                 97
170-180          96                0                  96               96                  96              67                 96              96                 96
180-190          97                0                  97               97                  97              67                 97              97                 97
190-200          96                0                  96               96                  96              93                 96              96                 96
200-210          97                0                  97               97                  97              85                 97              97                 97
210-220          96                0                  96               96                  96              68                 96              96                 96
220-230          96                0                  96               96                  96              69                 96              96                 96
230-240          97                0                  97               97                  97              72                 97              97                 97
240-250          96                0                  96               96                  96              72                 96              96                 96
250-260          97                0                  97               97                  97              70                 97              97                 97
260-270          96                0                  96               96                  96              64                 96              96                 96
270-280          97                0                  96               96                  96              74                 96              96                 96
280-290          96                0                  97               97                  97              66                 97              97                 97
290-300          96                0                  96               96                  96              79                 96              96                 96
300-310          97                0                  97               97                  97              66                 97              97                 97
310-320          96                0                  96               96                  96              78                 96              96                 96
320-330          97                0                  97               97                  97              69                 97              97                 97
330-340          96                0                  96               96                  96              81                 96              96                 96
340-350          96                0                  96               96                  96              68                 96              96                 96
350-360          97                0                  97               97                  97              70                 97              97                 97
360-370          96                0                  96               96                  96              73                 96              96                 96
370-380          97                0                  97               97                  97              73                 97              97                 97
380-390          96                0                  96               96                  96              65                 96              96                 96
390-400          96                0                  96               96                  96              69                 96              96                 96
400-410          97                0                  97               97                  97              73                 97              97                 97
410-420          96                0                  96               96                  96              71                 96              96                 96
420-430          97                0                  97               97                  97              65                 97              97                 97
430-440          96                0                  96               96                  96              73                 96              96                 96
440-450          97                0                  97               97                  97              85                 97              97                 97
450-460          96                0                  96               96                  96              86                 96              96                 96
460-470          97                0                  97               97                  97              96                 97              97                 97
470-480          96                0                  96               96                  96              82                 96              96                 96
480-490          32                0                  31               31                  31              23                 31              31                 31
Total          4661               78                4660             4660                4660            3507               4657            4657               4657
