Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          96               96                  96               96                  96              92                 93              93                 93
010-020          96               96                  96               96                  96              93                 96              96                 96
020-030          96               13                  96               96                  96              96                 96              96                 96
030-040          96                0                  96               96                  96              96                 96              96                 96
040-050          96                0                  96               96                  96              96                 96              96                 96
050-060          96                0                  96               88                  96              95                 96              96                 96
060-070          96                0                  96                0                  96              96                 96              96                 96
070-080          96                0                  96                0                  96              96                 96              96                 96
080-090          96                0                  96                0                  96              95                 96              96                 96
090-100          96                0                  96                0                  96              96                 96              96                 96
100-110          96                0                  96                0                  96              96                 96              96                 96
110-120          96                0                  96                0                  96              95                 96              96                 96
120-130          96                0                  96                0                  96              96                 96              96                 96
130-140          96                0                  96                0                  96              96                 96              96                 96
140-150          96                0                  96                0                  96              93                 96              96                 96
150-160          96                0                  96                0                  96              93                 96              96                 96
160-170          96                0                  96                0                  96              96                 96              96                 96
170-180          96                0                  96                0                  96              94                 96              96                 96
180-190          96                0                  96                0                  96              95                 96              96                 96
190-200          96                0                  96                0                  96              96                 96              96                 96
200-210          96                0                  96                0                  96              96                 96              96                 96
210-220          96                0                  96                0                  96              95                 96              96                 96
220-230          96                0                  96                0                  96              96                 96              96                 96
230-240          96                0                  96                0                  96              96                 96              96                 96
240-250          96                0                  96                0                  96              96                 96              96                 96
250-260          96                0                  96                0                  96              96                 96              96                 96
260-270          96                0                  96                0                  96              95                 96              96                 96
270-280          96                0                  96                0                  96              95                 96              96                 96
280-290          73                0                  72                0                  72              72                 72              72                 72
Total          2761              205                2760              568                2760            2738               2757            2757               2757
