Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               97                  97               97                  97              93                 94              94                 94
010-020          96               96                  96               96                  96              96                 96              96                 96
020-030          97               97                  97               97                  97              96                 97              97                 97
030-040          96               96                  96               96                  96              96                 96              96                 96
040-050          96               96                  96               96                  96              96                 96              96                 96
050-060          97               97                  97               97                  97              97                 97              97                 97
060-070          96               96                  96               96                  96              95                 96              96                 96
070-080          97               97                  97               97                  97              97                 97              97                 97
080-090          96               96                  96               96                  96              94                 96              96                 96
090-100          96               96                  96               96                  96              95                 96              96                 96
100-110          97               97                  97               97                  97              97                 97              97                 97
110-120          96               96                  96               96                  96              95                 96              96                 96
120-130          44               43                  43               43                  43              43                 43              43                 43
Total          1201             1200                1200             1200                1200            1190               1197            1197               1197
