Time            ref  offline_res=0.2  offline_gt_res=0.2  offline_res=0.5  offline_gt_res=0.5  online_res=0.2  online_gt_res=0.2  online_res=0.5  online_gt_res=0.5
000-010          97               97                  97               97                  97              94                 94              94                 94
010-020          96               96                  96               96                  96              96                 96              96                 96
020-030          97               30                  97               97                  97              97                 97              97                 97
030-040          96                0                  96               96                  96              96                 96              96                 96
040-050          96                0                  96               96                  96              96                 96              96                 96
050-060          97                0                  97               97                  97              97                 97              97                 97
060-070          96                0                  96               96                  96              96                 96              96                 96
070-080          96                0                  96               96                  96              96                 96              96                 96
080-090          97                0                  97               97                  97              97                 97              97                 97
090-100          96                0                  96               96                  96              96                 96              96                 96
100-110          96                0                  96               96                  96              96                 96              96                 96
110-120          97                0                  97               97                  97              97                 97              97                 97
120-130          96                0                  96               96                  96              96                 96              96                 96
130-140          97                0                  97               97                  97              97                 97              97                 97
140-150          96                0                  96               96                  96              96                 96              96                 96
150-160          96                0                  96               96                  96              96                 96              96                 96
160-170          49                0                  48               48                  48              48                 48              48                 48
Total          1591              223                1590             1590                1590            1587               1587            1587               1587
